2015-02-04 13:17:16 startup archives unpack
2015-02-05 08:23:44 startup archives unpack
2015-02-05 08:23:45 upgrade file:amd64 1:5.14-2ubuntu3.2 1:5.14-2ubuntu3.3
2015-02-05 08:23:45 status half-configured file:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status unpacked file:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status half-installed file:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-05 08:23:45 status half-installed file:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status unpacked file:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:45 status unpacked file:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:45 upgrade libmagic1:amd64 1:5.14-2ubuntu3.2 1:5.14-2ubuntu3.3
2015-02-05 08:23:45 status half-configured libmagic1:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status unpacked libmagic1:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status half-installed libmagic1:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status half-installed libmagic1:amd64 1:5.14-2ubuntu3.2
2015-02-05 08:23:45 status unpacked libmagic1:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:45 status unpacked libmagic1:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:45 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-05 08:23:45 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-05 08:23:46 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-05 08:23:46 startup packages configure
2015-02-05 08:23:46 configure libmagic1:amd64 1:5.14-2ubuntu3.3 <none>
2015-02-05 08:23:46 status unpacked libmagic1:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 status unpacked libmagic1:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 status unpacked libmagic1:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 status half-configured libmagic1:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 status installed libmagic1:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 status triggers-pending libc-bin:amd64 2.19-0ubuntu6.5
2015-02-05 08:23:46 configure file:amd64 1:5.14-2ubuntu3.3 <none>
2015-02-05 08:23:46 status unpacked file:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 status half-configured file:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 status installed file:amd64 1:5.14-2ubuntu3.3
2015-02-05 08:23:46 trigproc libc-bin:amd64 2.19-0ubuntu6.5 <none>
2015-02-05 08:23:46 status half-configured libc-bin:amd64 2.19-0ubuntu6.5
2015-02-05 08:23:46 status installed libc-bin:amd64 2.19-0ubuntu6.5
2015-02-07 16:21:43 startup archives unpack
2015-02-07 16:21:44 install fslint:all <none> 2.44-1
2015-02-07 16:21:44 status half-installed fslint:all 2.44-1
2015-02-07 16:21:44 status triggers-pending mime-support:all 3.54ubuntu1.1
2015-02-07 16:21:44 status triggers-pending gnome-menus:amd64 3.10.1-0ubuntu2
2015-02-07 16:21:44 status triggers-pending desktop-file-utils:amd64 0.22-1ubuntu1
2015-02-07 16:21:44 status half-installed fslint:all 2.44-1
2015-02-07 16:21:44 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-07 16:21:44 status unpacked fslint:all 2.44-1
2015-02-07 16:21:44 status unpacked fslint:all 2.44-1
2015-02-07 16:21:44 trigproc mime-support:all 3.54ubuntu1.1 3.54ubuntu1.1
2015-02-07 16:21:44 status half-configured mime-support:all 3.54ubuntu1.1
2015-02-07 16:21:44 status installed mime-support:all 3.54ubuntu1.1
2015-02-07 16:21:44 trigproc gnome-menus:amd64 3.10.1-0ubuntu2 3.10.1-0ubuntu2
2015-02-07 16:21:44 status half-configured gnome-menus:amd64 3.10.1-0ubuntu2
2015-02-07 16:21:44 status installed gnome-menus:amd64 3.10.1-0ubuntu2
2015-02-07 16:21:44 trigproc desktop-file-utils:amd64 0.22-1ubuntu1 0.22-1ubuntu1
2015-02-07 16:21:44 status half-configured desktop-file-utils:amd64 0.22-1ubuntu1
2015-02-07 16:21:44 status installed desktop-file-utils:amd64 0.22-1ubuntu1
2015-02-07 16:21:44 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-07 16:21:44 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-07 16:21:45 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-07 16:21:45 startup packages configure
2015-02-07 16:21:45 configure fslint:all 2.44-1 <none>
2015-02-07 16:21:45 status unpacked fslint:all 2.44-1
2015-02-07 16:21:45 status half-configured fslint:all 2.44-1
2015-02-07 16:21:45 status installed fslint:all 2.44-1
